Site,Date,Comment
Tylstrup,15-04-2014,Maxim 100 FS (fludioxonil) - fungi - 250 ml ton-1 potatoes ~ 625 mL ha-1 a sprayed on potatoes before the planting
Tylstrup,15-04-2014,Seed bed preparation diagonally - depth 20 cm
Tylstrup,15-04-2014,Planting of potatoes. cv. Kuras rowdistance 75 cm, plantdistance 25 cm, depth 17 cm, final plant number 4 m-2
Tylstrup,16-04-2014,BBCH stage 00
Tylstrup,16-04-2014,Command CS (clomazon) - weeds - 0.25 L ha-1 (not included)
Tylstrup,25-04-2014,BBCH stage 01
Tylstrup,30-04-2014,BBCH stage 03
Tylstrup,05-05-2014,BBCH stage 05
Tylstrup,15-05-2014,BBCH stage 08 to 09
Tylstrup,15-05-2014,Titus WSB (rimsulfuron) - weeds - 10 g ha-1 (not included in monitoring)
Tylstrup,17-05-2014,BBCH stage 9 – emergence
Tylstrup,22-05-2014,Titus WSB (rimsulfuron) + U46 M (MCPA) - weeds - 20 g ha-1 + 100 mL ha-1 (not included in monitoring)
Tylstrup,22-05-2014,BBCH stage 13
Tylstrup,27-05-2014,BBCH stage 15
Tylstrup,04-06-2014,BBCH stage 15
Tylstrup,10-06-2014,BBCH stage 27
Tylstrup,13-06-2014,BBCH stage 45
Tylstrup,13-06-2014,Irrigation 24 mm. Started 13/06
Tylstrup,18-06-2014,BBCH stage 47
Tylstrup,18-06-2014,Biomass tubers 119.0 g Top 233.3 g m-2 - 100% DM
Tylstrup,20-06-2014,BBCH stage 53
Tylstrup,20-06-2014,Irrigation 24 mm. Started 20/06. Ended 20/06
Tylstrup,26-06-2014,BBCH stage 59
Tylstrup,26-06-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Tylstrup,02-07-2014,Biomass tubers 388.9 g. Top 391.2 g m-2 - 100% DM
Tylstrup,02-07-2014,BBCH stage 60
Tylstrup,03-07-2014,BBCH stage 60
Tylstrup,04-07-2014,Irrigation 24 mm. Started 04/07. Ended 04/07
Tylstrup,04-07-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Tylstrup,14-07-2014,BBCH stage 69
Tylstrup,14-07-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Tylstrup,23-07-2014,BBCH stage 75?
Tylstrup,23-07-2014,Irrigation 24 mm. Started 23/07. Ended 23/07
Tylstrup,24-07-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Tylstrup,24-07-2014,BBCH stage 75?
Tylstrup,30-07-2014,Irrigation 30 mm. Started 30/07
Tylstrup,02-08-2014,BBCH stage?
Tylstrup,02-08-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Tylstrup,11-08-2014,BBCH stage 90?
Tylstrup,11-08-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Tylstrup,13-08-2014,Biomass tubers 1,270.3 g. Top 266.3 g m-2 - 100% DM
Tylstrup,13-08-2014,BBCH stage 92
Tylstrup,18-08-2014,BBCH stage 92
Tylstrup,18-08-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Tylstrup,25-08-2014,BBCH stage 92
Tylstrup,25-08-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Tylstrup,12-09-2014,Harvest of potatoes. Tuber yield 107.1 hkg ha-1 - 100% DM
Tylstrup,15-09-2014,Liming - 4.0 t ha-1
Tylstrup,20-09-2014,Disk harrowed - depth 10 cm
Tylstrup,20-09-2014,Stubble cultivated - depth 25 cm
Tylstrup,22-09-2014,Sowing winter wheat, cv. Mariboss, sowing depth 3.0 cm, seeding rate 190 kg ha-1, row distance 12.5 cm, final plantnumber 248 m-2
Tylstrup,22-09-2014,BBCH stage 00
Tylstrup,29-09-2014,BBCH stage 07-08
Tylstrup,29-09-2014,Fertilisation - 24.5 N, kg ha-1
Tylstrup,02-10-2014,BBCH stage 09 – emergence
Tylstrup,09-10-2014,BBCH stage 11
Tylstrup,13-10-2014,BBCH stage 12
Tylstrup,22-10-2014,BBCH stage 13
Tylstrup,30-10-2014,BBCH stage 13
Tylstrup,30-10-2014,Lexus 50 WG (flupyrsulfuron) - weeds - 10 g ha-1 (i.e. 4.6 g a.i. ha-1)
Tylstrup,14-11-2014,BBCH stage 14-15
Tylstrup,14-11-2014,Orius 200 EW (tebuconazole) - fungi – 1.25 L ha-1 (i.e. 250 g a.i. ha-1)
Tylstrup,17-12-2014,BBCH stage 22
Tylstrup,17-12-2014,Biomass 16.1 g m-2 - 100% DM
Tylstrup,24-03-2015,BBCH stage 22
Tylstrup,24-03-2015,Fertilisation - 49.6 N, 7.1 P, 23.6 K, kg ha-1
Tylstrup,09-04-2015,BBCH stage 24
Tylstrup,09-04-2015,Lexus 50 WG (flupyrsulfuron) - weeds - 10 g ha-1 (i.e. 4.6 g a.i. ha-1)
Tylstrup,22-04-2015,BBCH stage 30
Tylstrup,30-04-2015,BBCH stage 31
Tylstrup,05-05-2015,BBCH stage 31
Tylstrup,05-05-2015,Fertilisation - 105 N, 15 P, 50 K, kg ha-1
Tylstrup,14-05-2015,BBCH stage 32
Tylstrup,14-05-2015,Starane XL (fluroxypyr + florasulam) - weeds - 1.2 L ha-1 (i.e.120 g a.i. ha-1 + 3 g a.i. ha-1)
Tylstrup,14-05-2015,Proline EC 250 (prothioconazole) - fungi - 0.8 L ha-1 (i.e. 200 g a.i. ha-1)
Tylstrup,26-05-2015,BBCH stage 33
Tylstrup,12-06-2015,BBCH stage 49
Tylstrup,12-06-2015,Proline EC 250 (prothioconazole) - fungi - 0.8 L ha-1 (i.e. 200 g a.i. ha-1)
Tylstrup,15-06-2015,BBCH stage 51
Tylstrup,15-06-2015,Biomass 890.1 g m-2 - 100% DM
Tylstrup,13-07-2015,BBCH stage 71
Tylstrup,21-07-2015,BBCH stage 75
Tylstrup,21-07-2015,Irrigation 26 mm. Started 21/7 20:00. Ended 22/7 07:00
Tylstrup,13-08-2015,BBCH stage 82
Tylstrup,13-08-2015,Biomass 1673 g m-2 – 100% DM
Tylstrup,20-08-2015,BBCH stage 88
Tylstrup,20-08-2015,Broadsown a catchcrop of oil seed rape cv. Akiro, 16 kg ha-1 (on top of the soil)
Tylstrup,20-08-2015,Glyphogan (glyhosate) - weeds - 2.7 l ha-1 (sprayed simultaniously with the sowing of the catchcrop) (i.e. 972 g a.i. ha-1)
Tylstrup,01-09-2015,BBCH stage 09 – emergence of catch crop
Tylstrup,08-09-2015,BBCH stage 90
Tylstrup,08-09-2015,Harvest of winter wheat. Stubleheight 14 cm, grainyield 74.0 hkg ha-1 85% DM
Tylstrup,10-09-2015,Straw remowed, yield 46.4 hkg ha-1 - 100% DM
Tylstrup,22-03-2016,Ploughed - depth 23 cm
Tylstrup,15-04-2016,Spring barley sown, cv.Evergreen, seeding rate 155 kg ha-1, sowing depth 2.8 cm, row distance 13 cm. Final plantnumber 272 m-2 Sown with rotorharrow combine sowing machine
Tylstrup,15-04-2016,BBCH stage 0
Tylstrup,18-04-2016,Fertilization – 168 N, 24 P, 80 K, kg ha-1
Tylstrup,21-04-2016,Undersowing of clover grass catch crop (AgrowGrass 350 MidiMaize) seeding rate 13 kg ha-1, sowing depth 1 cm, row distance 12 cm
Tylstrup,01-05-2016,BBCH stage 9
Tylstrup,10-05-2016,BBCH stage 12
Tylstrup,19-05-2016,BBCH stage 23
Tylstrup,19-05-2016,Biomass 47.8 g m-2 – 100% DM
Tylstrup,19-05-2016,Fighter 480 (bentazone) - weeds- 1.5 L ha-1 (i.e. 720 g a.i. ha-1)
Tylstrup,19-05-2016,Catchcrop – BBCH stage 11-12
Tylstrup,02-06-2016,BBCH stage 36
Tylstrup,09-06-2016,BBCH stage 50
Tylstrup,09-06-2016,Irrigation 27 mm. Started 21/7 20:00. Ended 22/7 07:00
Tylstrup,10-06-2016,BBCH stage 50
Tylstrup,10-06-2016,Biomass 414.8 g m-2 – 100% DM
